sofascore_id,player_name,original_name,position,club,total_scored,total_attempts,event_id,outcome,zone,penalty_id,x,y,Nationality,Caps,Goals,Group,Is_Captain,Match_Score,added_time,away_score,body_part,description,event_type,gk_coord_x,gk_coord_y,gk_id,gk_name,goal_mouth_x,goal_mouth_y,home_score,is_home,player_coord_x,player_coord_y,player_id,reason,sequence,shot_x,shot_y,time,type
856250,Ladislav Krejčí,Ladislav Krejčí,D,Wolverhampton,13,16,15129795,save,low-right,6089455,68.82,95.83,Czech Republic,26,5,A,1,High,,1,,Goalkeeper save,penalty-save,,,856640,Mads Hermansen,68.82,95.83,2,True,88.5,50,856250,goalkeeperSave,6,100,46.5,,shootout
856250,Ladislav Krejčí,Ladislav Krejčí,D,Wolverhampton,13,16,15126912,goal,high-left,6089069,33.33,57.83,Czech Republic,26,5,A,1,High,,1,left-foot,Scored,goal,100,49.8,827362,Caoimhin Kelleher,33.33,57.83,1,True,88.5,50,856250,scored,2,100,53.1,,shootout
856250,Ladislav Krejčí,Ladislav Krejčí,D,Wolverhampton,13,16,12288483,goal,low-left,6061869,29.03,95.83,Czech Republic,26,5,A,1,High,5,4,,,,,,,,,,2,False,,,856250,,,,,90,match_penalty
856250,Ladislav Krejčí,Ladislav Krejčí,D,Wolverhampton,13,16,11367387,goal,low-left,6061550,27.42,87.33,Czech Republic,26,5,A,1,High,,1,,,,,,,,,,0,False,,,856250,,,,,28,match_penalty
856250,Ladislav Krejčí,Ladislav Krejčí,D,Wolverhampton,13,16,11500227,post,high,587639,71.51,35.67,Czech Republic,26,5,A,1,High,,0,,Off target,,,,,,,,0,True,,,856250,offTarget,1,,,,shootout
856250,Ladislav Krejčí,Ladislav Krejčí,D,Wolverhampton,13,16,11367608,goal,high-centre,146634,41.94,50.5,Czech Republic,26,5,A,1,High,,1,,,,,,,,,,0,False,,,856250,,,,,80,match_penalty
856250,Ladislav Krejčí,Ladislav Krejčí,D,Wolverhampton,13,16,11367608,goal,high-centre,104107,50,64.17,Czech Republic,26,5,A,1,High,,1,,,,,,,,,,0,False,,,856250,,,,,80,match_penalty
856250,Ladislav Krejčí,Ladislav Krejčí,D,Wolverhampton,13,16,11251214,goal,low-left,44637,27.96,83.17,Czech Republic,26,5,A,1,High,,1,,,,,,,,,,1,True,,,856250,,,,,68,match_penalty
856250,Ladislav Krejčí,Ladislav Krejčí,D,Wolverhampton,13,16,11251231,goal,low-left,44423,27.42,86.33,Czech Republic,26,5,A,1,High,7,2,,,,,,,,,,3,True,,,856250,,,,,90,match_penalty
856250,Ladislav Krejčí,Ladislav Krejčí,D,Wolverhampton,13,16,10405222,goal,high-left,44424,31.72,56.83,Czech Republic,26,5,A,1,High,14,1,,,,,,,,,,2,True,,,856250,,,,,90,match_penalty
856250,Ladislav Krejčí,Ladislav Krejčí,D,Wolverhampton,13,16,10405107,goal,low-right,44425,74.19,94.67,Czech Republic,26,5,A,1,High,,1,,,,,,,,,,1,False,,,856250,,,,,73,match_penalty
856250,Ladislav Krejčí,Ladislav Krejčí,D,Wolverhampton,13,16,10405104,goal,high-left,44426,27.42,59.83,Czech Republic,26,5,A,1,High,,2,,,,,,,,,,1,True,,,856250,,,,,59,match_penalty
856250,Ladislav Krejčí,Ladislav Krejčí,D,Wolverhampton,13,16,10405304,goal,low-left,40902,33.33,88.33,Czech Republic,26,5,A,1,High,,3,,,,,,,,,,1,False,,,856250,,,,,60,match_penalty
856250,Ladislav Krejčí,Ladislav Krejčí,D,Wolverhampton,13,16,10405279,goal,low-left,40903,25.81,95.83,Czech Republic,26,5,A,1,High,,1,,,,,,,,,,2,True,,,856250,,,,,36,match_penalty
856250,Ladislav Krejčí,Ladislav Krejčí,D,Wolverhampton,13,16,10405192,goal,low-left,44638,29.03,67.33,Czech Republic,26,5,A,1,High,,1,,,,,,,,,,0,False,,,856250,,,,,33,match_penalty
856250,Ladislav Krejčí,Ladislav Krejčí,D,Wolverhampton,13,16,9588654,save,low-right,40904,69.89,76.83,Czech Republic,26,5,A,1,High,,,,,,,,,,,,,True,,,,,,,,36,match_penalty
109002,Vladimír Darida,Vladimír Darida,M,FC Hradec Králové,10,13,14036463,goal,low-right,6090573,69.35,96.83,Czech Republic,78,8,A,0,High,,1,right-foot,,goal,0.9,49.8,909632,Matouš Trmal,69.35,96.83,0,False,11.5,50,109002,,,0,53.6,67,match_penalty
109002,Vladimír Darida,Vladimír Darida,M,FC Hradec Králové,10,13,14029226,goal,low-right,6090232,74.19,71.5,Czech Republic,78,8,A,0,High,4,1,right-foot,,goal,99.7,50.2,907172,Jakub Markovič,74.19,71.5,2,True,88.5,50,109002,,,100,45.5,90,match_penalty
109002,Vladimír Darida,Vladimír Darida,M,FC Hradec Králové,10,13,10352175,goal,low-right,17028,70.97,96.83,Czech Republic,78,8,A,0,High,,1,,Scored,,,,,,,,0,False,,,109002,scored,1,,,,shootout
109002,Vladimír Darida,Vladimír Darida,M,FC Hradec Králové,10,13,8365199,goal,high-left,17029,27.96,54.67,Czech Republic,78,8,A,0,High,,2,,Scored,,,,,,,,2,True,,,109002,scored,4,,,,shootout
109002,Vladimír Darida,Vladimír Darida,M,FC Hradec Králové,10,13,8078574,goal,low-centre,17030,44.62,74.67,Czech Republic,78,8,A,0,High,5,3,,,,,,,,,,0,False,,,109002,,,,,90,match_penalty
