Name,Club,Nationality,Sofascore_ID,event_id,penalty_id,outcome,zone,x,y,player_total_scored,player_total_attempts
Ladislav Krejčí,Wolverhampton Wanderers,Czech Republic,856250,15129795,6089455,save,low-right,68.82,95.83,13,16
Ladislav Krejčí,Wolverhampton Wanderers,Czech Republic,856250,15126912,6089069,goal,high-left,33.33,57.83,13,16
Ladislav Krejčí,Wolverhampton Wanderers,Czech Republic,856250,12288483,6061869,goal,low-left,29.03,95.83,13,16
Ladislav Krejčí,Wolverhampton Wanderers,Czech Republic,856250,11367387,6061550,goal,low-left,27.42,87.33,13,16
Ladislav Krejčí,Wolverhampton Wanderers,Czech Republic,856250,11500227,587639,post,high,71.51,35.67,13,16
Ladislav Krejčí,Wolverhampton Wanderers,Czech Republic,856250,11367608,146634,goal,high-centre,41.94,50.5,13,16
Ladislav Krejčí,Wolverhampton Wanderers,Czech Republic,856250,11367608,104107,goal,high-centre,50,64.17,13,16
Ladislav Krejčí,Wolverhampton Wanderers,Czech Republic,856250,11251214,44637,goal,low-left,27.96,83.17,13,16
Ladislav Krejčí,Wolverhampton Wanderers,Czech Republic,856250,11251231,44423,goal,low-left,27.42,86.33,13,16
Ladislav Krejčí,Wolverhampton Wanderers,Czech Republic,856250,10405222,44424,goal,high-left,31.72,56.83,13,16
Ladislav Krejčí,Wolverhampton Wanderers,Czech Republic,856250,10405107,44425,goal,low-right,74.19,94.67,13,16
Ladislav Krejčí,Wolverhampton Wanderers,Czech Republic,856250,10405104,44426,goal,high-left,27.42,59.83,13,16
Ladislav Krejčí,Wolverhampton Wanderers,Czech Republic,856250,10405304,40902,goal,low-left,33.33,88.33,13,16
Ladislav Krejčí,Wolverhampton Wanderers,Czech Republic,856250,10405279,40903,goal,low-left,25.81,95.83,13,16
Ladislav Krejčí,Wolverhampton Wanderers,Czech Republic,856250,10405192,44638,goal,low-left,29.03,67.33,13,16
Ladislav Krejčí,Wolverhampton Wanderers,Czech Republic,856250,9588654,40904,save,low-right,69.89,76.83,13,16
Tomáš Souček,West Ham United,Czech Republic,799041,15697561,6089629,goal,low-left,27.42,80,8,9
Tomáš Souček,West Ham United,Czech Republic,799041,15129795,6089424,goal,high-left,28.49,65.17,8,9
Tomáš Souček,West Ham United,Czech Republic,799041,15126912,6089071,goal,low-right,67.2,78.83,8,9
Tomáš Souček,West Ham United,Czech Republic,799041,15579437,6088452,goal,high-right,69.89,61,8,9
Tomáš Souček,West Ham United,Czech Republic,799041,12057875,6066945,goal,low-right,60.22,71.5,8,9
Tomáš Souček,West Ham United,Czech Republic,799041,10752531,2588348,goal,high-centre,42.47,61,8,9
Tomáš Souček,West Ham United,Czech Republic,799041,10023364,16882,save,low-left,35.48,93.67,8,9
Tomáš Souček,West Ham United,Czech Republic,799041,8390978,16883,goal,low-centre,45.7,82,8,9
Tomáš Souček,West Ham United,Czech Republic,799041,8147974,6044253,goal,high-centre,41.4,43,8,9
Vladimír Darida,Hradec Králové,Czech Republic,109002,14036463,6090573,goal,low-right,69.35,96.83,10,13
Vladimír Darida,Hradec Králové,Czech Republic,109002,14029226,6090232,goal,low-right,74.19,71.5,10,13
Vladimír Darida,Hradec Králové,Czech Republic,109002,10352175,17028,goal,low-right,70.97,96.83,10,13
Vladimír Darida,Hradec Králové,Czech Republic,109002,8365199,17029,goal,high-left,27.96,54.67,10,13
Vladimír Darida,Hradec Králové,Czech Republic,109002,8078574,17030,goal,low-centre,44.62,74.67,10,13
Vladimír Darida,Hradec Králové,Czech Republic,109002,6828222,6050052,goal,low-right,72.58,93.67,10,13
Vladimír Darida,Hradec Králové,Czech Republic,109002,7264717,6050053,save,low-right,62.37,74.67,10,13
Vladimír Darida,Hradec Králové,Czech Republic,109002,7093251,6050054,goal,high-right,69.35,54.67,10,13
